chrX	156040895	4069520	0
chr1	248956422	8586076	0
chr2	242193529	8730862	0
chr3	198295559	7763588	0
chr4	190214555	6865822	0
chr5	181538259	6437110	0
chr6	170805979	6245702	0
chr7	159345973	5120002	0
chr8	145138636	4429934	0
chr9	138394717	3074496	0
chr10	133797422	3744458	0
chr11	135086622	4150864	0
chr12	133275309	3962784	0
chr13	114364328	2491690	0
chr14	107043718	2111312	0
chr15	101991189	1594308	0
chr16	90338345	1517486	0
chr17	83257441	1330292	0
chr18	80373285	1576202	0
chr19	58617616	741820	0
chr20	64444167	1086026	0
chr21	46709983	387820	0
chr22	50818468	328640	0
