chrX	156040895	1240779	0
chr1	248956422	2114268	0
chr2	242193529	2225173	0
chr3	198295559	1841147	0
chr4	190214555	1681781	0
chr5	181538259	1637573	0
chr6	170805979	1522372	0
chr7	159345973	1401393	0
chr8	145138636	1298062	0
chr9	138394717	1038731	0
chr10	133797422	1228789	0
chr11	135086622	1228975	0
chr12	133275309	1224071	0
chr13	114364328	868135	0
chr14	107043718	794074	0
chr15	101991189	708264	0
chr16	90338345	690883	0
chr17	83257441	678194	0
chr18	80373285	680896	0
chr19	58617616	477865	0
chr20	64444167	579533	0
chr21	46709983	295689	0
chr22	50818468	297212	0
