chrX	156040895	2084713	0
chr1	248956422	3621375	0
chr2	242193529	3840542	0
chr3	198295559	3182603	0
chr4	190214555	2940802	0
chr5	181538259	2837312	0
chr6	170805979	2648119	0
chr7	159345973	2404752	0
chr8	145138636	2237235	0
chr9	138394717	1781359	0
chr10	133797422	2088095	0
chr11	135086622	2101847	0
chr12	133275309	2110980	0
chr13	114364328	1529564	0
chr14	107043718	1369362	0
chr15	101991189	1218235	0
chr16	90338345	1138426	0
chr17	83257441	1148424	0
chr18	80373285	1175238	0
chr19	58617616	781628	0
chr20	64444167	963399	0
chr21	46709983	507570	0
chr22	50818468	491563	0
