chrX	156040895	976168	0
chr1	248956422	2156090	0
chr2	242193529	1951421	0
chr3	198295559	1579260	0
chr4	190214555	1333745	0
chr5	181538259	1354976	0
chr6	170805979	1326561	0
chr7	159345973	1355351	0
chr8	145138636	1101857	0
chr9	138394717	1003951	0
chr10	133797422	1181987	0
chr11	135086622	1112744	0
chr12	133275309	1261950	0
chr13	114364328	704100	0
chr14	107043718	774395	0
chr15	101991189	759685	0
chr16	90338345	821815	0
chr17	83257441	987678	0
chr18	80373285	558559	0
chr19	58617616	868406	0
chr20	64444167	596206	0
chr21	46709983	260001	0
chr22	50818468	413787	0
