chrX	156040895	1078173	0
chr1	248956422	2263117	0
chr2	242193529	2053712	0
chr3	198295559	1660857	0
chr4	190214555	1406961	0
chr5	181538259	1425544	0
chr6	170805979	1390312	0
chr7	159345973	1432588	0
chr8	145138636	1159012	0
chr9	138394717	1055823	0
chr10	133797422	1244213	0
chr11	135086622	1170529	0
chr12	133275309	1325052	0
chr13	114364328	735385	0
chr14	107043718	809100	0
chr15	101991189	790581	0
chr16	90338345	873282	0
chr17	83257441	1029864	0
chr18	80373285	587154	0
chr19	58617616	924397	0
chr20	64444167	628990	0
chr21	46709983	273248	0
chr22	50818468	435021	0
