chrX	156040895	8834356	0
chr1	248956422	18751146	0
chr2	242193529	19379176	0
chr3	198295559	16108336	0
chr4	190214555	14492126	0
chr5	181538259	13843890	0
chr6	170805979	13471446	0
chr7	159345973	11731702	0
chr8	145138636	10577320	0
chr9	138394717	8061698	0
chr10	133797422	9541968	0
chr11	135086622	10218474	0
chr12	133275309	10172236	0
chr13	114364328	6669742	0
chr14	107043718	6229260	0
chr15	101991189	5316286	0
chr16	90338345	5108818	0
chr17	83257441	5311744	0
chr18	80373285	4888014	0
chr19	58617616	3431780	0
chr20	64444167	4029516	0
chr21	46709983	1870622	0
chr22	50818468	1895902	0
