chrX	156040895	10463180	0
chr1	248956422	22673900	0
chr2	242193529	23278988	0
chr3	198295559	19381330	0
chr4	190214555	17173988	0
chr5	181538259	16740158	0
chr6	170805979	16315104	0
chr7	159345973	14140120	0
chr8	145138636	12758398	0
chr9	138394717	9782282	0
chr10	133797422	11399510	0
chr11	135086622	12259326	0
chr12	133275309	12240186	0
chr13	114364328	8002368	0
chr14	107043718	7462254	0
chr15	101991189	6625186	0
chr16	90338345	6140774	0
chr17	83257441	6545042	0
chr18	80373285	5807488	0
chr19	58617616	4302506	0
chr20	64444167	4855342	0
chr21	46709983	2266936	0
chr22	50818468	2377580	0
