chrX	156040895	7802598	0
chr1	248956422	16958800	0
chr2	242193529	17364128	0
chr3	198295559	14593708	0
chr4	190214555	12770956	0
chr5	181538259	12544798	0
chr6	170805979	12298902	0
chr7	159345973	10570264	0
chr8	145138636	9550480	0
chr9	138394717	7293522	0
chr10	133797422	8655760	0
chr11	135086622	9222212	0
chr12	133275309	9176082	0
chr13	114364328	6042136	0
chr14	107043718	5589068	0
chr15	101991189	4982734	0
chr16	90338345	4685906	0
chr17	83257441	4969458	0
chr18	80373285	4393582	0
chr19	58617616	3275348	0
chr20	64444167	3670028	0
chr21	46709983	1714432	0
chr22	50818468	1805648	0
