chrX	156040895	5338146	0
chr1	248956422	10050812	0
chr2	242193529	10621634	0
chr3	198295559	8772402	0
chr4	190214555	8295486	0
chr5	181538259	7353338	0
chr6	170805979	7334512	0
chr7	159345973	5872688	0
chr8	145138636	5376330	0
chr9	138394717	3767648	0
chr10	133797422	4564512	0
chr11	135086622	4834554	0
chr12	133275309	4830308	0
chr13	114364328	2995210	0
chr14	107043718	2575854	0
chr15	101991189	1926696	0
chr16	90338345	1924702	0
chr17	83257441	1694496	0
chr18	80373285	2052020	0
chr19	58617616	898732	0
chr20	64444167	1399482	0
chr21	46709983	535520	0
chr22	50818468	407620	0
